team,logo,color
Arsenal,arsenal,#D80A19
Aston Villa,aston_villa,#79053C
AFC Bournemouth,afc_bournemouth,#D61C26
Chelsea,chelsea,#0B4892
Crystal Palace,crystal_palace,#1E478D
Everton,everton,#294686
Leicester City,leicester_city,#0A559E
Liverpool,liverpool,#CE0A2D
Manchester City,manchester_city,#61C0E9
Manchester United,manchester_united,#D80B1D
Newcastle United,newcastle_united,#231F20
Norwich City,norwich_city,#18A554
Southampton,southampton,#EA2040
Stoke City,stoke_city,#DE3C43
Sunderland,sunderland,#E81D33
Swansea City,swansea_city,#000000
Tottenham Hotspur,tottenham_hotspur,#021E56
Watford,watford,#FAEC40
West Bromwich Albion,west_bromwich_albion,#0A1752
West Ham United,west_ham_united,#5F233B
